Country,Prevalence Cases,NumericCode,Latitude,Longitude
Afghanistan,53.95,4,33.7680065,66.2385139
Albania,114.14,8,41.000028,19.9999619
Algeria,98.62,12,28.0000272,2.9999825
Angola,74.43,24,-11.8775768,17.5691241
Argentina,166.23,32,-34.9964963,-64.9672817
Armenia,135.96,51,40.7696272,44.6736646
Australia,418.67,36,-24.7761086,134.755
Austria,217.2,40,47.59397,14.12456
Azerbaijan,102.07,31,40.3936294,47.7872508
Bahamas,155.16,44,24.7736546,-78.0000547
Bahrain,90.36,48,26.1551249,50.5344606
Bangladesh,61.6,50,24.4769288,90.2934413
Barbados,164.8,52,13.1500331,-59.5250305
Belarus,207.74,112,53.4250605,27.6971358
Belgium,280.35,56,50.6402809,4.6667145
Belize,83.03,84,17.1204943,-88.6859028
Benin,54.14,204,9.5293472,2.2584408
Bhutan,60.02,64,27.549511,90.5119273
Bosnia Herzegovina,153.81,70,44.3053476,17.5961467
Botswana,84.08,72,-23.1681782,24.5928742
Brazil,150.62,76,-10.3333333,-53.2
Brunei Darussalam,153.5,96,4.4137155,114.5653908
Bulgaria,165.17,100,42.6073975,25.4856617
Burkina Faso,59.96,854,12.0753083,-1.6880314
Burundi,56.28,108,-3.426449,29.9324519
Cambodia,77.3,116,12.5433216,104.8144914
Cameroon,69.12,120,4.6125522,13.1535811
Canada,299.54,124,61.0666922,-107.991707
Cape Verde,58.75,132,16.0000552,-24.0083947
Central African Republic,38.92,140,7.0323598,19.9981227
Chad,50.69,148,15.6134137,19.0156172
Chile,143.87,152,-31.7613365,-71.3187697
China,133.7,156,35.000074,104.999927
Colombia,124.02,170,4.099917,-72.9088133
Comoros,67.69,174,-12.2045176,44.2832964
"Congo, Republic of",46.31,178,-0.7264327,15.6419155
Costa Rica,133.45,188,10.2735633,-84.0739102
Côte d'Ivoire,70.53,384,7.9897371,-5.5679458
Cuba,157.39,192,23.0131338,-80.8328748
Cyprus,243.09,196,34.9174159,32.8899027
Czechia,233.76,203,49.7439047,15.3381061
Denmark,326.06,208,55.670249,10.3333283
Djibouti,53.84,262,11.8145966,42.8453061
Dominican Republic,115.63,214,19.0974031,-70.3028026
Ecuador,105.35,218,-1.3397668,-79.3666965
Egypt,106.39,818,26.2540493,29.2675469
El Salvador,78.14,222,13.8000382,-88.9140683
Equatorial Guinea,69.07,226,1.613172,10.5170357
Eritrea,42.5,232,15.9500319,37.9999668
Estonia,232.57,233,58.7523778,25.3319078
Eswatini,88.43,748,-26.5624806,31.3991317
Ethiopia,51.15,231,10.2116702,38.6521203
Fiji,127.16,242,-18.1239696,179.0122737
Finland,242.68,246,63.2467777,25.9209164
France (metropolitan),281.12,250,46.603354,1.8883335
"France, Guadeloupe",183.81,312,16.2528827,-61.5686855
"France, La Réunion",154.01,638,-21.1309332,55.5265771
"France, Martinique",186.97,474,14.6113732,-60.9620777
French Guyana,170.96,254,4.0039882,-52.999998
French Polynesia,172.86,258,-17.0243749,-144.6434898
Gabon,77.89,266,-0.8999695,11.6899699
Georgia,145.38,268,32.3293809,-83.1137366
Germany,235.16,276,51.1638175,10.4478313
Ghana,70.44,288,8.0300284,-1.0800271
Greece,208.19,300,38.9953683,21.9877132
Guam,132.2,316,13.4499943,144.7651677
Guatemala,73.62,320,15.5855545,-90.345759
Guinea,56.05,324,10.7226226,-10.7083587
Guinea-Bissau,43.3,624,11.815215,-15.2351044
Guyana,88.78,328,4.8417097,-58.6416891
Haiti,67.98,332,19.1399952,-72.3570972
Honduras,76.38,340,15.2572432,-86.0755145
Hungary,263.93,348,47.1817585,19.5060937
Iceland,238.14,352,64.9841821,-18.1059013
India,59.52,356,22.3511148,78.6677428
Indonesia,86.56,360,-2.4833826,117.8902853
"Iran, Islamic Republic of",102.16,364,32.6475314,54.5643516
Iraq,85.77,368,33.0955793,44.1749775
Ireland,304.96,372,52.865196,-7.9794599
Israel,206.44,376,30.8124247,34.8594762
Italy,234.38,380,42.6384261,12.674297
Jamaica,136.94,388,18.1850507,-77.3947693
Japan,217.88,392,36.5748441,139.2394179
Kazakhstan,118.55,398,48.1012954,66.7780818
Kenya,85.57,404,1.4419683,38.4313975
"Korea, Democratic People Republic of",93.37,408,40.3736611,127.0870417
"Korea, Republic of",192.49,410,36.638392,127.6961188
Kuwait,81.37,414,29.2733964,47.4979476
Kyrgyzstan,78.42,417,41.5089324,74.724091
Lao People's Democratic Republic,89.38,418,20.0171109,103.378253
Latvia,229.81,428,56.8406494,24.7537645
Lebanon,114.56,422,33.8750629,35.843409
Lesotho,62.38,426,-29.6039267,28.3350193
Liberia,54.3,430,5.7499721,-9.3658524
Libya,85.15,434,26.8234472,18.1236723
Lithuania,235.8,440,55.3500003,23.7499997
Luxembourg,235.51,442,49.8158683,6.1296751
Madagascar,60.71,450,-18.9249604,46.4416422
Malawi,78.73,454,-13.2687204,33.9301963
Malaysia,107.13,458,4.5693754,102.2656823
Maldives,79.86,462,3.7203503,73.2244152
Mali,62.78,466,16.3700359,-2.2900239
Malta,233.63,470,35.8885993,14.4476911
Mauritania,58.07,478,20.2540382,-9.2399263
Mauritius,106.68,480,-20.2759451,57.5703566
Mexico,102.1,484,23.6585116,-102.0077097
Mongolia,139.73,496,46.8250388,103.8499736
Montenegro,183.83,499,42.7755624,19.2022423
Morocco,95.68,504,28.3347722,-10.3713379
Mozambique,60.05,508,-19.302233,34.9144977
Myanmar,75.07,104,17.1750495,95.9999652
Namibia,120.77,516,-23.2335499,17.3231107
Nepal,45.39,524,28.3780464,83.9999901
New Caledonia,234.32,540,-20.6378428,161.2117626
New Zealand,332.17,554,-41.5000831,172.8344077
Nicaragua,81.24,558,12.3506436,-85.7841006
Niger,34.44,562,17.7356214,9.3238432
Nigeria,58.68,566,9.6000359,7.9999721
North Macedonia,146.01,807,41.6171214,21.7168387
Norway,321.11,578,61.1529386,8.7876653
Oman,78.35,512,21.0000287,57.0036901
Pakistan,56.63,586,30.3308401,71.247499
Panama,116.84,591,8.559559,-81.1308434
Papua New Guinea,101.72,598,-5.6816069,144.2489081
Paraguay,129.73,600,-23.3165935,-58.1693445
Peru,120.81,604,-6.8699697,-75.0458515
Philippines,119.99,608,12.7503486,122.7312101
Poland,208.85,616,52.215933,19.134422
Portugal,235.01,620,39.6621648,-8.1353519
Puerto Rico,187.73,630,18.2247706,-66.4858295
Qatar,65.72,634,25.3336984,51.2295295
Republic of Moldova,162.46,498,47.2879608,28.5670941
Romania,209.96,642,45.9852129,24.6859225
Russian Federation,188.08,643,64.6863136,97.7453061
Rwanda,44.63,646,-1.9646631,30.0644358
Saint Lucia,124.8,662,13.8250489,-60.975036
Samoa,174.99,882,-13.7693895,-172.12005
Sao Tome and Principe,83.1,678,0.9713095,7.02255
Saudi Arabia,67.96,682,25.6242618,42.3528328
Senegal,58.18,686,14.4750607,-14.4529612
Serbia,182.67,688,44.0243229,21.0765743
Sierra Leone,44.41,694,8.6400349,-11.8400269
Singapore,191.71,702,1.357107,103.8194992
Slovakia,225.78,703,48.7411522,19.4528646
Slovenia,255.9,705,46.1199444,14.8153333
Solomon Islands,84.2,90,-8.7053941,159.1070694
Somalia,38.65,706,8.3676771,49.083416
South Africa,133.5,710,-28.8166236,24.991639
South Sudan,43.02,728,7.8699431,29.6667897
Spain,228.68,724,39.3260685,-4.8379791
Sri Lanka,75.14,144,7.5554942,80.7137847
Sudan,47.09,729,14.5844444,29.4917691
Suriname,120.95,740,4.1413025,-56.0771187
Sweden,277.8,752,59.6749712,14.5208584
Switzerland,259.39,756,46.7985624,8.2319736
Syrian Arab Republic,74.74,760,34.8147886,38.4231781
Tajikistan,55.69,762,38.6281733,70.8156541
"Tanzania, United Republic of",72.21,834,-6.5247123,35.7878438
Thailand,105.88,764,14.8971921,100.83273
The Netherlands,298.41,528,52.2434979,5.6343227
The Republic of the Gambia,40.24,270,13.470062,-15.4900464
Timor-Leste,54.51,626,-8.7443169,126.063482
Togo,54.26,768,8.7800265,1.0199765
Trinidad and Tobago,139.39,780,10.7466905,-61.0840075
Tunisia,90.63,788,33.8439408,9.400138
Türkiye,165.05,792,39.294076,35.2316631
Turkmenistan,79.81,795,39.3763807,59.3924609
Uganda,82.61,800,1.5333554,32.2166578
Ukraine,143.33,804,49.4871968,31.2718321
United Arab Emirates,84.87,784,24.0002488,53.9994829
United Kingdom,263.24,826,54.7023545,-3.2765753
United States of America,314.59,840,39.7837304,-100.445882
Uruguay,208.81,858,-32.8755548,-56.0201525
Uzbekistan,74.48,860,41.32373,63.9528098
Vanuatu,77.79,548,-16.5255069,168.1069154
Venezuela,121.56,862,8.0018709,-66.1109318
Viet Nam,95.39,704,15.9266657,107.9650855
Yemen,40.48,887,16.3471243,47.8915271
Zambia,85.57,894,-14.5189121,27.5589884
Zimbabwe,113.77,716,-18.4554963,29.7468414
